TRAIN=1 Loss_CL=0.0066534140 Accuracy_CL_Percent=0.05890 f_1_0=0.05442 f_1_1=0.13033 f_1_2=0.33065 f_1_3=0.36842 f_1_4=0.60465 f_1_global=0.58900 recall_0=0.22222 recall_1=0.36111 recall_2=0.44404 recall_3=0.54065 recall_4=0.63636 recall_global=0.58900 precision_0=0.03101 precision_1=0.07951 precision_2=0.26338 precision_3=0.27941 precision_4=0.57595 precision_global=0.58900 
TRAIN=2 Loss_CL=0.0055523834 Accuracy_CL_Percent=0.07346 f_1_0=0.03077 f_1_1=0.05085 f_1_2=0.26854 f_1_3=0.26786 f_1_4=0.62592 f_1_global=0.73460 recall_0=0.02778 recall_1=0.04167 recall_2=0.24188 recall_3=0.24390 recall_4=0.67133 recall_global=0.73460 precision_0=0.03448 precision_1=0.06522 precision_2=0.30180 precision_3=0.29703 precision_4=0.58626 precision_global=0.73460 
TRAIN=3 Loss_CL=0.0048688179 Accuracy_CL_Percent=0.07748 f_1_0=0.00000 f_1_1=0.02703 f_1_2=0.16129 f_1_3=0.23324 f_1_4=0.64739 f_1_global=0.77480 recall_0=0.00000 recall_1=0.01389 recall_2=0.10830 recall_3=0.16260 recall_4=0.70455 recall_global=0.77480 precision_0=0.00000 precision_1=0.50000 precision_2=0.31579 precision_3=0.41237 precision_4=0.59881 precision_global=0.77480 
TRAIN=4 Loss_CL=0.0046089693 Accuracy_CL_Percent=0.07800 f_1_0=0.00000 f_1_1=0.00000 f_1_2=0.08671 f_1_3=0.12162 f_1_4=0.66559 f_1_global=0.78000 recall_0=0.00000 recall_1=0.00000 recall_2=0.05415 recall_3=0.07317 recall_4=0.72378 recall_global=0.78000 precision_0=0.00000 precision_1=0.00000 precision_2=0.21739 precision_3=0.36000 precision_4=0.61607 precision_global=0.78000 
