TRAIN=1 Loss_CL=0.0650953819 Accuracy_CL_Percent=0.61720 f_1_0=0.09346 f_1_1=0.12037 f_1_2=0.31951 f_1_3=0.30070 f_1_4=0.54362 f_1_global=0.61720 recall_0=0.32258 recall_1=0.33333 recall_2=0.38235 recall_3=0.35102 recall_4=0.50169 recall_global=0.61720 precision_0=0.05464 precision_1=0.07345 precision_2=0.27441 precision_3=0.26300 precision_4=0.59319 precision_global=0.61720 
TRAIN=2 Loss_CL=0.0525339547 Accuracy_CL_Percent=0.76560 f_1_0=0.00000 f_1_1=0.05941 f_1_2=0.15094 f_1_3=0.13731 f_1_4=0.65012 f_1_global=0.76560 recall_0=0.00000 recall_1=0.03846 recall_2=0.10294 recall_3=0.09388 recall_4=0.68814 recall_global=0.76560 precision_0=0.00000 precision_1=0.13043 precision_2=0.28283 precision_3=0.25556 precision_4=0.61608 precision_global=0.76560 
TRAIN=3 Loss_CL=0.0472974119 Accuracy_CL_Percent=0.78620 f_1_0=0.00000 f_1_1=0.00000 f_1_2=0.06431 f_1_3=0.06522 f_1_4=0.69271 f_1_global=0.78620 recall_0=0.00000 recall_1=0.00000 recall_2=0.03676 recall_3=0.03673 recall_4=0.78136 recall_global=0.78620 precision_0=0.00000 precision_1=0.00000 precision_2=0.25641 precision_3=0.29032 precision_4=0.62213 precision_global=0.78620 
TRAIN=4 Loss_CL=0.0451903039 Accuracy_CL_Percent=0.79540 f_1_0=0.00000 f_1_1=0.00000 f_1_2=0.10323 f_1_3=0.06015 f_1_4=0.70444 f_1_global=0.79540 recall_0=0.00000 recall_1=0.00000 recall_2=0.05882 recall_3=0.03265 recall_4=0.77966 recall_global=0.79540 precision_0=0.00000 precision_1=0.00000 precision_2=0.42105 precision_3=0.38095 precision_4=0.64246 precision_global=0.79540 
